active_backlog,branch_issue_deadline,btech_ctc,btech_home,cgpa,company_name,exam_date,idd_imd_ctc,idd_imd_home,interview_date,mtech_ctc,mtech_home,phd_ctc,phd_home,ppt_date,profile,status,total_backlog,updated_at,willingness_deadline,x_percent,xii_percent,che,Unnamed: 23,mec,met,phe,eee,min,mst,cse,ece,civ,mat,eceche,cer,bce,chy,phy,bme,btech,idd,mtech,phd,email_msg_willingness,email_count_willingness
0.0,2017-09-01 11:00:00,,,6.0,AXTRIA,,780000.0,,,,,,,,Technical Analyst/Business Analyst,Open for Willingness,0.0,2017-09-25 16:51:00,2017-09-27 10:00:00,80.0,70.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,Willingness for AXTRIA is open till 2017-09-27 10:00:00. The Company is offering a CTC of 7.80 Lakhs and Take Home of nan Lakhs,0
0.0,2017-07-11 23:00:00,2500000.0,1500000.0,0.0,Media.net,2017-10-08 00:00:00,2500000.0,1500000.0,,2500000.0,1500000.0,,,,Platform Engineer,Open for Willingness,0.0,2017-09-25 14:46:00,2017-09-27 10:00:00,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,Willingness for Media.net is open till 2017-09-27 10:00:00. The Company is offering a CTC of 25.00 Lakhs and Take Home of 15.00 Lakhs,0
0.0,2017-07-11 23:00:00,2500000.0,1500000.0,0.0,Flock,2017-10-08 00:00:00,2500000.0,1500000.0,,2500000.0,1500000.0,,,,Platform Engineer,Open for Willingness,0.0,2017-09-25 14:45:00,2017-09-27 10:00:00,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,Willingness for Flock is open till 2017-09-27 10:00:00. The Company is offering a CTC of 25.00 Lakhs and Take Home of 15.00 Lakhs,0
0.0,2017-08-09 13:00:00,900000.0,,7.0,WIPRO,,900000.0,,,,,,,2017-10-05 00:00:00,,Open for Willingness,0.0,2017-09-25 12:16:00,2017-09-27 10:00:00,60.0,60.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,Willingness for WIPRO is open till 2017-09-27 10:00:00. The Company is offering a CTC of 9.00 Lakhs and Take Home of nan Lakhs,0
