active_backlog,branch_issue_deadline,btech_ctc,btech_home,cgpa,company_name,exam_date,idd_imd_ctc,idd_imd_home,interview_date,mtech_ctc,mtech_home,phd_ctc,phd_home,ppt_date,profile,status,total_backlog,updated_at,willingness_deadline,x_percent,xii_percent,ece,mat,phe,bce,mst,eee,min,bme,phy,met,chy,cse,civ,che,mec,cer,btech,idd,mtech,phd,email_msg,email_count
0.0,2017-09-06 12:00:00,800000.0,,5.0,GGK Tech,2017-09-25 00:00:00,800000.0,,,,,,,2017-09-25 00:00:00,Software Engineer,Open for Willingness,0.0,2017-09-20 21:04:00,2017-09-22 10:00:00,60.0,60.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Willingness for GGK Tech is open till 2017-09-22 10:00:00. The Company is offering a CTC of 8.00 Lakhs and Take Home of nan Lakhs,0
0.0,2017-09-01 11:00:00,,,6.0,AXTRIA,,780000.0,,,,,,,,Technical Analyst/Business Analyst,Open for Willingness,0.0,2017-09-20 21:03:00,2017-09-22 10:00:00,80.0,70.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,Willingness for AXTRIA is open till 2017-09-22 10:00:00. The Company is offering a CTC of 7.80 Lakhs and Take Home of nan Lakhs,0
