active_backlog,branch_issue_deadline,btech_ctc,btech_home,cgpa,company_name,exam_date,idd_imd_ctc,idd_imd_home,interview_date,mtech_ctc,mtech_home,phd_ctc,phd_home,ppt_date,profile,status,total_backlog,updated_at,willingness_deadline,x_percent,xii_percent,che,mec,bme,phe,phy,bce,ece,eee,min,cse,met,mst,civ,cer,mat,chy,btech,idd,mtech,phd
0.0,2017-07-11 23:00:00,"7,78,000",,8.0,Tata Consultancy Services,,"10,03,000",,,"10,03,000",,Depending on experience,,2017-10-15 00:00:00,Systems Engineer,Under Branch Issue,0.0,2017-09-19 00:20:00,,60.0,60.0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
0.0,2017-09-06 12:00:00,"9,00,000 or 7,00,000",,5.0,GGK Tech,2017-09-25 00:00:00,"9,00,000 or 7,00,000",,,,,,,2017-09-25 00:00:00,Software Engineer,Under Branch Issue,0.0,2017-09-19 00:17:00,,60.0,60.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-09-19 10:00:00,23.84 lakhs,,8.0,FLIPKART,,23.84 lakhs,,,,,,,,,Willingness Closed,0.0,2017-09-18 20:07:00,2017-09-19 16:00:00,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
0.0,2017-09-09 10:00:00,"25,00,000",,8.5,Samsung Bangalore,,"26,00,000",,,,,,,,Software Engineer,Willingness Closed,0.0,2017-09-18 13:16:00,2017-09-20 10:00:00,65.0,65.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0.0,2017-07-26 23:00:00,"20,00,000",,7.5,Samsung Bangalore,,"21,00,000",,,,,,,2017-08-08 00:00:00,Software Engineer,Willingness Closed,0.0,2017-09-18 13:16:00,2017-09-20 10:00:00,65.0,65.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0.0,2017-08-23 11:00:00,"4,50,000",,6.0,BRIDGEi2i,,"5,00,000",,,"5,00,000",,,,,Business/Data Analyst,Willingness Closed,0.0,2017-09-18 11:52:00,2017-09-20 10:00:00,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.0,2017-08-05 11:00:00,"11,20,000",,7.0,EXL,2017-10-28 00:00:00,"11,20,000",,,,,,,2017-10-28 00:00:00,Consultant,Under Branch Issue,0.0,2017-09-16 14:17:00,,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-08-19 10:00:00,"19,50,000","17,00,000",7.0,Samsung Noida,2017-10-27 00:00:00,"19,50,000","17,00,000",,,,,,2017-08-29 00:00:00,Engineer,Under Branch Issue,0.0,2017-09-16 14:16:00,,70.0,70.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-07-11 23:00:00,"17,00,000",,6.0,Tesco,2017-09-24 00:00:00,"17,00,000",,,,,,,2017-09-24 00:00:00,Associate Software Development Engineer,Willingness Closed,0.0,2017-09-16 13:45:00,2017-09-06 15:00:00,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-08-23 14:00:00,"30,00,000",,0.0,ALPHONSO,2017-10-07 00:00:00,"30,00,000",,,,,,,2017-10-07 00:00:00,Technologist,Under Branch Issue,0.0,2017-09-16 13:44:00,,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-08-05 23:00:00,"711,984","680,004",6.0,CGI,2017-10-08 00:00:00,"711,984","680,004",,,,,,2017-10-05 00:00:00,Associate Software Engineer,Under Branch Issue,0.0,2017-09-16 13:42:00,,60.0,60.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-07-11 23:00:00,"25,00,000","15,00,000",0.0,Media.net,2017-10-08 00:00:00,"25,00,000","15,00,000",,"25,00,000","15,00,000",,,,Platform Engineer,Under Branch Issue,0.0,2017-09-16 13:41:00,,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.0,2017-07-11 23:00:00,"25,00,000","15,00,000",0.0,Flock,2017-10-08 00:00:00,"25,00,000","15,00,000",,"25,00,000","15,00,000",,,,Platform Engineer,Under Branch Issue,0.0,2017-09-16 13:41:00,,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
